Age,Gender,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Digit_Span,Coping_Skills
9.5,Female,1.185428713,-0.574239682,3.243257762,-1.00657677,-3.539973384,12.24149454,3.142173534
9.6,Male,0.51664407,-0.011390547,0.852482259,0.614069974,-0.866340693,11.87709347,1.063732105
9.8,Male,-0.219112167,-0.243997593,1.15742531,0.441832795,-0.834160588,11.90640329,6.163260689
10.33,Female,-0.414581997,-3.563179287,0.779719798,-1.114003928,0.480063553,14.57412527,5.680593828
10.76,Male,0.08050221,0.52766282,-0.282041733,-0.652792432,0.265608082,12.38048176,4.036889062
10.8,Male,0.08732512,-0.091396211,-0.277734649,-0.463497472,-0.230377256,12.95935999,8.18827894
10.9,Male,0.51364407,-0.014390547,-0.049482259,-0.411069974,0.060593878,12.87409347,0.641198572
11.2,Male,-0.222112167,-0.246997593,0.15442531,-0.438832795,0.198423303,12.90340329,0.070950382
11.2,Female,-0.082428713,-2.577239682,0.240257762,-1.00957677,-0.869904233,14.23849454,0.681668637
11.3,Female,-0.211573654,-2.222916628,0.423286785,-1.063241496,0.665113391,12.07251113,0.714481453
11.5,Male,-0.285955862,-1.489877695,1.087782624,-0.469030375,0.690155274,11.30396078,0.490180071
11.6,Male,-0.093959544,-1.355469328,0.891399392,-0.344977905,0.606660799,13.51115815,0.647437214
11.7,Male,-0.103707308,-1.375150825,0.863124259,-0.374924657,0.63414435,12.91509044,2.183696514
11.9,Male,-0.314414232,-1.129433722,1.681486857,-0.452066217,0.605254891,8.605847146,0.746907598
12.09,Male,0.00658146,-2.175605415,0.288840354,0.497831646,0.192755975,11.198416,0.752431553
12.3,Male,-1.109345232,-0.384015255,-0.555837837,-0.869891922,0.838400244,9.609200292,0.478464842
12.4,Male,-1.383600987,-0.40585047,-0.185482596,-0.810940703,0.831598038,12.67568851,-0.69375877
12.4,Female,0.652345215,0.023189562,0.494701216,0.130505309,0.763253818,12.57561892,0.385061349
12.6,Female,-1.933023685,-1.108723996,0.00896063,-0.210614401,0.145849709,13.06301828,1.277018808
12.7,Female,0.759386439,0.81826801,-1.1146228,1.407953739,-0.342991843,11.80103166,0.280833184
12.8,Female,0.667681446,0.634146015,-0.535828907,1.430278965,-0.363699017,12.08440127,0.698611189
12.9,Male,-1.484920055,0.280544751,-1.063945816,-0.291825885,-1.409338313,9.335641756,3.668095351
12.96,Female,-0.119419091,0.264238369,-0.041740993,-0.182151072,1.8864059,14.82195692,-1.464897501
13.4,Female,-0.464417352,0.475900087,0.396146792,-0.453601866,-0.059304793,14.12622324,0.932588876
13.4,Female,-0.080133968,0.521003849,-0.184600393,-0.393703149,-0.000420762,14.07438102,1.233037316
13.4,Male,-0.288403623,-1.013705509,-0.748249497,-0.991179862,1.124012623,13.1630493,0.689592504
13.44,Male,-1.033853273,-2.355631338,-0.505104796,0.055747081,-0.886223394,13.63431467,1.781558371
13.5,Male,-1.683586902,-1.201570267,-0.068065872,-0.057119269,1.11190063,13.59459647,0.55686415
13.6,Female,0.39147193,0.368296913,0.968361878,1.123444248,-0.221936949,11.1940312,0.602806608
13.7,Male,-1.216785073,-1.386185359,0.149288111,-0.021277941,1.149510576,13.88404217,-0.015955778
13.8,Male,-1.637622625,-1.636378543,0.572000973,0.002727413,1.14480807,13.8383027,0.055447775
13.9,Female,-0.420515511,-0.891571789,1.006604926,-0.680740181,1.721190701,13.04956016,-0.100003668
13.91,Female,-1.140735856,0.330239704,-0.367868555,-0.850562863,1.81765591,11.7059051,-1.221072439
14.1,Male,0.364732674,0.795583147,0.552975252,0.21887604,0.439698447,14.56344481,0.617999919
14.1,Female,0.678947313,-1.550583728,-0.728698178,-0.240028501,-0.251493662,16.47682177,0.444661384
